year,y,y_error,year_error
65,0,0.08,25.5
71,0,0.08,11.5
88,0,0.101,4.5
119,0,0.101,16
148,0,0.101,5
161,0,0.08,9.5
247,0,0.08,34.5
305,0,0.08,8
305,0,0.08,2
313,0,0.101,2
364,0,0.101,9
417,0,0.08,4.5
434,0,0.08,8.5
469,0,0.08,6.5
483,0,0.101,2.5
503,0,0.101,6.5
578,0,0.101,11.5
583,0,0.08,5
600,0,0.101,2
625,0,0.101,24.5
668,0,0.101,3
694,0,0.08,69.5
702,0,0.101,2.5
773,0,0.08,9
842,0,0.101,2
845,0,0.08,5.5
883,0,0.101,3
905,0,0.101,5.5
941,0,0.101,2
954,0,0.101,10
974,0,0.08,6
998,0,0.101,5
1022,0,0.101,4
1037,0,0.101,3
1091,0,0.08,11.5
1092,0,0.101,4
1119,0,0.101,2.5
1127,0,0.101,3.5
1142,0,0.101,6
1145,0,0.08,9.5
1186,0,0.08,45.5
1201,0,0.101,6
1222,0,0.101,2.5
1270,0,0.08,8
1282,0,0.101,4
1297,0,0.101,2.5
1304,0,0.08,113
1310,0,0.08,10.5
1327,0,0.101,9
1332,0,0.101,79
1341,0,0.08,103
1366,0,0.08,8.5
1373,0,0.101,2.5
1402,0,0.101,6
1404,0,0.101,10.5
1423,0,0.101,7
1457,0,0.101,48.5
1461,0,0.101,2
1473,0,0.101,3.5
1474,0,0.08,9
1482,0,0.101,4.5
1504,0,0.08,10
1509,0,0.08,13
1516,0,0.08,12
1525,0,0.101,2
1536,0,0.101,5.5
1571,0,0.101,4
1571,0,0.101,33.5
1584,0,0.101,3
1590,0,0.101,4.5
1603,0,0.101,10
1628,0,0.101,3
1643,0,0.101,55.5
1664,0,0.08,9.5
1679,0,0.101,10
1688,0,0.101,6.5
1696,0,0.101,4.5
1716,0,0.101,4
1731,0,0.101,5
1736,0,0.101,5.5
1764,0,0.101,2.5
1778,0,0.101,27.5
1801,0,0.101,6.5
1856,0,0.101,4.5
1866,0,0.101,13.5
1890,0,0.101,16.5
1893,0,0.101,6
1931,0,0.101,4.5
1994,0,0.101,9.5
1998,0,0.101,11
2023,0,0.101,6.5
2038,0,0.101,3
2066,0,0.101,7.5
2106,0,0.101,3.5
2145,0,0.101,9
2183,0,0.101,13.5
2205,0,0.101,5
2218,0,0.08,37.5
2273,0,0.101,5.5
2287,0,0.101,6.5
2371,0,0.101,6
2400,0,0.101,6
2465,0,0.101,4
2493,0,0.101,16.5
2534,0,0.101,8
2567,0,0.101,20.5
2681,0,0.101,14
2698,0,0.101,19
2712,0,0.101,8.5
2744,0,0.101,6.5
2788,0,0.101,5.5
2844,0,0.101,8
3261,-0.25,0.133,6
3269,-0.25,0.133,18
3276,-0.25,0.133,5
3276,-0.25,0.133,17
3293,-0.25,0.133,5.5
3296,-0.25,0.133,7
3339,-0.25,0.133,6.5
3399,-0.25,0.133,14.5
3409,-0.25,0.133,10
3436,-0.25,0.133,4
3480,-0.25,0.133,4
3548,-0.25,0.133,4.5
3557,-0.25,0.133,4
3675,-0.25,0.133,5.5
3691,-0.25,0.133,12
3771,-0.25,0.133,7
3837,-0.25,0.133,5.5
3889,-0.25,0.133,9.5
3092,-0.13,0.25,23
2943,-0.13,0.25,12
2940,-0.13,0.25,11
